137912e4fc92f2d54d62bd4f555a716c	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__Binatales;f__Binataceae	1;1;1;0.842221;0.842221
6799a689ef8f70fc2ce39e9faabb9503	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__Binatales;f__Binataceae	0.999996;0.999996;0.999996;0.999996;0.999996
3a010c731c82f90bc1b7cb92a77bb6d0	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__Binatales;f__Binataceae;g__Binatus	1;1;1;1;1;0.999749
a1d5bc1323bffbc48e637451a99da4e2	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__Binatales;f__Binataceae	0.999584;0.999584;0.999584;0.999584;0.999584
f44ccf3f4bd54187901efaf370773638	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__Binatales;f__Binataceae	0.999529;0.999529;0.999529;0.971812;0.971812
f0634be8e196da8368e50168bcfc67bd	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__DP-6;f__DP-6;g__DP-3;s__DP-3 sp005879585	0.992879;0.992879;0.992879;0.968689;0.968689;0.968689;0.483332
00b3b2150e42e194ffe3b073aea99750	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__HRBIN30;f__JAGDMS01;g__JAKLJW01;s__JAKLJW01 sp023150935	1;1;1;0.945518;0.496497;0.496497;0.496497
f91201adfe8be6ff17177daa8bb13518	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__HRBIN30	1;1;1;1
a84eef94878eaf4c4c2cea701c595e7f	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__HRBIN30	1;1;1;1
02ea5ec82f19361c276c9ce80973dd58	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__HRBIN30	1;1;1;1
90c4c990f44987d6d5c89c69633f9cb2	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-20	0.999984;0.999984;0.999984;0.999984;0.999984;0.407952
324792d80a7bdee8e81e5887b4504842	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-1;s__DP-1 sp020027655	1;1;1;1;1;1;0.997409
aa3e4f45679cdafe6d03824399feac41	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-20	1;1;1;1;1;0.857595
50512f3355f55465ca97096e9928bab9	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__JAJXVM01;s__JAJXVM01 sp023169965	1;1;1;1;1;0.998811;0.998811
0af5d23276d53cc7204fefc1c52b35e6	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__JAJXVM01;s__JAJXVM01 sp023169965	1;1;1;1;1;0.998811;0.998811
3d8884f3e0e3b6decd0db35b6c77ca5d	d__Bacteria;p__Myxococcota;c__Polyangia;o__Fen-1088;f__Fen-1088;g__Fen-1137;s__Fen-1137 sp023438785	1;1;1;0.841212;0.841212;0.841212;0.841212
ec861349e1a65ce7f0e24d4fc163242f	d__Bacteria;p__Myxococcota;c__Polyangia;o__Fen-1088;f__Fen-1088;g__Fen-1137;s__Fen-1137 sp023438785	1;1;1;0.859412;0.859412;0.859412;0.859412
6349b9390370e0c49a1125963649dfdc	d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae	0.991661;0.991661;0.991661;0.991661;0.991661
c9727f4d0827510e267a22c12e320949	d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__JABFXX01;s__JABFXX01 sp005887925	1;1;1;1;1;1;0.998764
74dfc4788537883a596e732283dcb7e9	d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__UBA2376	0.99532;0.99532;0.99532;0.99532;0.99532;0.928698
cb2b3aa46919858c3108c39c73c95651	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38	0.99879;0.99879;0.99879;0.99879;0.99879
0adff9f8d713645f601df7ca2c2b6f3e	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__JANWZI01;g__JANWZI01;s__JANWZI01 sp025054695	0.996494;0.996494;0.996494;0.996494;0.498247;0.498247;0.498247
6cad158df7966582e3719c3822c427f6	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales	1;1;1;1
3994931dabd0a1fe472ac60a20abe972	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae	1;1;1;1;1
9594f13fa890a82a6d833cabd5baad53	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae	1;1;1;1;1
eb3130477a3035e1b7f7e5cafbd9b189	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae	1;1;1;1;1
fa25377de9940ca1223b77430e91d343	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae	1;1;1;1;1
3b3e0e8b9305020322078208b7643cde	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae	0.994374;0.994374;0.994374;0.994374;0.994374
85a92cb6fc9b8c71a26f2edb5867d6cd	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae	1;1;1;1;1
77599677762880ea8751ee5415827be2	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae	1;1;1;1;1
025bcd2f55bc951511311dc83bb8ecab	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae	1;1;1;1;1
31b6d495db332a8725a67e6cba15865c	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Minicystis;s__Minicystis rosea	0.999917;0.999917;0.999917;0.999917;0.999917;0.579814;0.579814
d9e3a2178f9c2e9f0158e56953d98a02	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae	0.99286;0.99286;0.99286;0.99286;0.99286
a980b5549b589f00f37f167f4f47dcfb	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae	0.985689;0.985689;0.985689;0.985689;0.985689
bd29faf9e8a87b4ac5132dca7c65ed2b	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Polyangium;s__Polyangium aurulentum	0.987718;0.987718;0.987718;0.987718;0.987718;0.687398;0.343699
947dba8f2bfbe7aa6e492339ae5dc754	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae	0.992429;0.992429;0.992429;0.992429;0.992429
5c6a9e78d6c0cddb7bcc40b510d9e383	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae	0.999954;0.999954;0.999954;0.999954;0.999954
09368e2692dbe28dddad2a0c8eb22691	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__NIC37A-2;s__NIC37A-2 sp002085155	1;1;1;1;1;0.58919;0.58919
5901d848a9dc04b3c0236b4011412a50	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae	0.999967;0.999967;0.999967;0.999967;0.999967
cd4480f07dbac64c1447b3d4d4aff768	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae	0.999993;0.999993;0.999993;0.999993;0.999993
35ed22e9fa79ab018326b68bd06b3bb0	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae	0.990353;0.990353;0.990353;0.990353;0.990353
5f38eddec39ca08a305aa71c03f7ed8d	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales	0.999177;0.999177;0.999177;0.999177
523291acc2bd845c9a282e0bae83a3ee	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__WRKR01;s__WRKR01 sp009781495	1;1;1;1;1;1;0.965973
31c04e45ba530ebcc8218e459b94504e	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__JAJXVM01;s__JAJXVM01 sp023169965	1;1;1;1;1;0.787217;0.787217
bee89b3064b649a72e5df03651bc145d	d__Bacteria	1
f0c7e41b7cb0bc188ae253a0e19d2b13	d__Bacteria;p__Myxococcota;c__UBA4151;o__UBA4151;f__UBA4151;g__CACGMS01;s__CACGMS01 sp902574205	0.999967;0.961431;0.480715;0.480715;0.480715;0.480715;0.480715
9915a86e24a69ef1c18fa657f15140cc	d__Bacteria;p__Myxococcota;c__XYA12-FULL-58-9;o__XYA12-FULL-58-9;f__JALHOP01;g__JALHOP01;s__JALHOP01 sp022842935	1;1;0.5;0.5;0.5;0.5;0.5
9088608f5912be9148f34e398660879b	d__Bacteria;p__Myxococcota	1;1
ffd6a41045c64d6150704f0af994b00f	d__Bacteria;p__Myxococcota;c__XYA12-FULL-58-9;o__XYA12-FULL-58-9;f__JALHOP01;g__JALHOP01;s__JALHOP01 sp022842935	0.996608;0.996608;0.498304;0.498304;0.498304;0.498304;0.498304
2b4e2f478b7c49fc4b52ca9413e94158	d__Bacteria;p__Myxococcota;c__UBA4151;o__UBA4151;f__UBA4151;g__CACGMS01;s__CACGMS01 sp902574205	1;1;0.5;0.5;0.5;0.5;0.5
2dc83e9857a358fa4482075c572917e1	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__JAJXVM01;s__JAJXVM01 sp023169965	1;1;1;1;1;0.998811;0.998811
519867315a022cdb4633496a13bc2ec8	d__Bacteria;p__Myxococcota;c__XYA12-FULL-58-9;o__XYA12-FULL-58-9;f__JALHOP01;g__JALHOP01;s__JALHOP01 sp022842935	0.999529;0.999529;0.499765;0.499765;0.499765;0.499765;0.499765
f033f74e98fcbe675cb1e371410930c6	d__Bacteria;p__Myxococcota;c__XYA12-FULL-58-9;o__XYA12-FULL-58-9;f__JALHOP01;g__JALHOP01;s__JALHOP01 sp022842935	0.999956;0.999956;0.499978;0.499978;0.499978;0.499978;0.499978
2ba826cac8a9db6883502e534324d012	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales	1;1;1;1
7b988d11af5ca39160ac0435d81efddb	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Corallococcus	0.401664;0.401664;0.401664;0.401664;0.401664;0.401664
c7a620ec2e5ee89ef46d0b16328b4043	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__JAKAPL01;g__JAJXUD01;s__JAJXUD01 sp021783235	0.990827;0.990827;0.990827;0.990827;0.990827;0.595288;0.595288
0c2f52bab85fe2ee3c31e85e1cc67ea0	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae	1;1;1;1;1
8ef7b5afa2de1f2a349c651ff6b3380a	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae	1;1;1;1;1
56fef134ab15729fe8ad8790e11f1fdc	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Palsa-1315	1;1;1;1;1;1
2e3ab9895c5da9a01ab4b5a6e18655f6	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6	0.999937;0.999937;0.999937;0.999937;0.999937
891f4e188fadbc3661081d172cdc6b0d	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6	1;1;1;1;1
3d7ea4dffab1130cdc0e3659dae0c1ef	d__Bacteria;p__Acidobacteriota	0.999844;0.999844
d65a391926c331c58d1b47d7e36bac67	d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Desulfuromonadales;f__Syntrophotaleaceae	1;1;1;1;1
89659aad526bfd1e2806d168acebedef	d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Desulfuromonadales;f__Syntrophotaleaceae	1;1;1;1;1
b4adb09defc8f65e12855706a0301acc	d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Geobacterales;f__Pseudopelobacteraceae	1;1;1;1;1
d22b7330a5079184c3789bc3a1ed4e5c	d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Geobacterales;f__Pseudopelobacteraceae	1;1;1;1;1
313ce1170aff390ae42aa9056c3d3c4c	d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Geobacterales;f__Pseudopelobacteraceae	1;1;1;1;1
ad8ba027253669137be3ba7f000b7104	d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Geobacterales;f__Pseudopelobacteraceae	1;1;1;1;1
68a30390c8b32234e8b5807a39fbd507	d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geomonas	0.317284;0.317284;0.317284;0.317284;0.317284;0.317284
d7aa0ab571f8947d3cf2f2dfea9196b6	d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae	0.943182;0.943182;0.943182;0.943182;0.943182
d8da1c1c62e80e77863607037fe6d65b	d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__Desulfatiglandaceae	1;1;0.696243;0.696243;0.696243
fef3d13e550f0df8d6bb84ea6f913474	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp003020125	0.993131;0.993131;0.993131;0.698725;0.698725;0.698725;0.489078
6985d1f642ea14cfe468a25f5d782130	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__JAMPXM01	1;1;1;1;1
9899ed560854dd433d0a7be8372d7419	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Vibrionaceae;g__Vibrio	0.999987;0.999987;0.999987;0.999987;0.999987;0.999987
f4c25d36e800c9a2b058a1aa3ba79f7f	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Vibrionaceae;g__Vibrio	0.999997;0.999997;0.999997;0.999997;0.999997;0.999997
34239f14f57eed8a2971a240df604a06	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Shewanellaceae;g__Shewanella	1;1;1;1;1;1
107273e73071282e4d0f4a0b46548da5	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas	0.224725;0.224725;0.224725;0.224725;0.224725;0.224725
f6da163672ad774ddc3ca4bc4dc96245	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089	0.999911;0.999911;0.999911;0.999911;0.999911
d6f7959d85d91e6889fa46c675650463	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089	0.999908;0.999908;0.999908;0.999908;0.999908
ede28f08378e5630007fb38dfbc7590f	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089	1;1;1;1;1
af5493968893c17840692a86249f994a	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Modicisalibacter	1;1;1;1;1;0.907862
51a014156b3a7d273878c862e9caaf38	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Thiopseudomonas	0.999997;0.999997;0.999997;0.999997;0.999997;0.709186
cbd805bb1079e3755ccb43218bee84e8	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter	0.991689;0.991689;0.991689;0.991689;0.991689;0.991689
c10442f1117bbfe857fcc8b57429324e	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E	0.344664;0.344664;0.344664;0.344664;0.344664;0.344664
0f18144d308ada95632ab5193d92073f	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E	0.338546;0.338546;0.338546;0.338546;0.338546;0.338546
0ddcd311e02f742e2e0e61ce02cf9c29	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E	0.215828;0.215828;0.215828;0.215828;0.215828;0.215828
