SampleID	F	R	Extraction_batch	PCR_batch	Plate	Well	Ale_ID	SampleOrigin	IsolationMethod	Tissue	Site	Tree	GlobalSampleID	SampleType	SequencingType
Leaf-ITS-F9-R16	F9	R16	6	1	2	H9	NA	Microbiome	NA	Leaf	RCHMD	A7	Microbiome-Leaf-RCHMD-A7	Sample	NovaSeq
Leaf-ITS-F9-R17	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F9-R18	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F9-R19	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F9-R20	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F9-R21	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F9-R22	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F9-R23	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F9-R24	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F10-R1	F10	R1	3	1	1	A10	NA	Microbiome	NA	Leaf	MTRD	C4	Microbiome-Leaf-MTRD-C4	Sample	NovaSeq
Leaf-ITS-F10-R2	F10	R2	3	1	1	B10	NA	Microbiome	NA	Leaf	MTRD	C3	Microbiome-Leaf-MTRD-C3	Sample	NovaSeq
Leaf-ITS-F10-R3	F10	R3	3	1	1	C10	NA	Microbiome	NA	Leaf	RCHMD	A8	Microbiome-Leaf-RCHMD-A8	Sample	NovaSeq
Leaf-ITS-F10-R4	F10	R4	3	1	1	D10	NA	Microbiome	NA	Leaf	RCHMD	C3	Microbiome-Leaf-RCHMD-C3	Sample	NovaSeq
Leaf-ITS-F10-R5	F10	R5	3	1	1	E10	NA	Microbiome	NA	Leaf	RWDN	C5	Microbiome-Leaf-RWDN-C5	Sample	NovaSeq
Leaf-ITS-F10-R6	F10	R6	3	1	1	F10	NA	Microbiome	NA	Leaf	SAW	C5	Microbiome-Leaf-SAW-C5	Sample	NovaSeq
Leaf-ITS-F10-R7	F10	R7	3	1	1	G10	NA	Microbiome	NA	Leaf	SLCY	C1	Microbiome-Leaf-SLCY-C1	Sample	NovaSeq
Leaf-ITS-F10-R8	F10	R8	3	1	1	H10	NA	Microbiome	NA	Leaf	SNDR	C5	Microbiome-Leaf-SNDR-C5	Sample	NovaSeq
Leaf-ITS-F10-R9	F10	R9	6	1	2	A10	NA	Microbiome	NA	Leaf	STHWK	C3	Microbiome-Leaf-STHWK-C3	Sample	NovaSeq
Leaf-ITS-F10-R10	F10	R10	6	1	2	B10	NA	Microbiome	NA	Leaf	STHWK	A7	Microbiome-Leaf-STHWK-A7	Sample	NovaSeq
Leaf-ITS-F10-R11	F10	R11	6	1	2	C10	NA	Microbiome	NA	Leaf	STRTS	C2	Microbiome-Leaf-STRTS-C2	Sample	NovaSeq
Leaf-ITS-F10-R12	F10	R12	6	1	2	D10	NA	Microbiome	NA	Leaf	WINDW	A7	Microbiome-Leaf-WINDW-A7	Sample	NovaSeq
Leaf-ITS-F10-R13	F10	R13	6	1	2	E10	NA	Microbiome	NA	Leaf	WINDW	A6	Microbiome-Leaf-WINDW-A6	Sample	NovaSeq
Leaf-ITS-F10-R14	F10	R14	6	1	2	F10	NA	Microbiome	NA	Leaf	Negctrl	Negctrl	Microbiome-Leaf-Negctrl-1-6	DNA_Negative	NovaSeq
Leaf-ITS-F10-R15	F10	R15	6	1	2	G10	NA	Microbiome	NA	Leaf	Negctrl	Negctrl	Microbiome-Leaf-Negctrl-2-6	DNA_Negative	NovaSeq
Leaf-ITS-F10-R16	F10	R16	7	1	2	H10	NA	Microbiome	NA	Leaf	ATTP	A6	Microbiome-Leaf-ATTP-A6	Sample	NovaSeq
Leaf-ITS-F10-R17	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F10-R18	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F10-R19	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F10-R20	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F10-R21	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F10-R22	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F10-R23	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F10-R24	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F11-R1	F11	R1	3	4	13	A3	NA	Microbiome	NA	Leaf	STHWK	C4	Microbiome-Leaf-STHWK-C4	Sample	NovaSeq
Leaf-ITS-F11-R2	F11	R2	3	4	13	B3	NA	Microbiome	NA	Leaf	STHWK	A11	Microbiome-Leaf-STHWK-A11	Sample	NovaSeq
Leaf-ITS-F11-R3	F11	R3	3	4	13	C3	NA	Microbiome	NA	Leaf	STHWK	A10	Microbiome-Leaf-STHWK-A10	Sample	NovaSeq
Leaf-ITS-F11-R4	F11	R4	3	4	13	D3	NA	Microbiome	NA	Leaf	STRTS	C3	Microbiome-Leaf-STRTS-C3	Sample	NovaSeq
Leaf-ITS-F11-R5	F11	R5	3	4	13	E3	NA	Microbiome	NA	Leaf	WINDW	C4	Microbiome-Leaf-WINDW-C4	Sample	NovaSeq
Leaf-ITS-F11-R6	F11	R6	3	4	13	F3	NA	Microbiome	NA	Leaf	WINDW	A16	Microbiome-Leaf-WINDW-A16	Sample	NovaSeq
Leaf-ITS-F11-R7	F11	R7	3	4	13	G3	NA	Microbiome	NA	Leaf	WLDCP	C1	Microbiome-Leaf-WLDCP-C1	Sample	NovaSeq
Leaf-ITS-F11-R8	F11	R8	4	4	13	H3	NA	Microbiome	NA	Leaf	ATTP	A15	Microbiome-Leaf-ATTP-A15	Sample	NovaSeq
Leaf-ITS-F11-R9	F11	R9	7	1	2	A11	NA	Microbiome	NA	Leaf	ATTP	A13	Microbiome-Leaf-ATTP-A13	Sample	NovaSeq
Leaf-ITS-F11-R10	F11	R10	7	1	2	B11	NA	Microbiome	NA	Leaf	ATTP	A8	Microbiome-Leaf-ATTP-A8	Sample	NovaSeq
Leaf-ITS-F11-R11	F11	R11	7	1	2	C11	NA	Microbiome	NA	Leaf	ATTP	A9	Microbiome-Leaf-ATTP-A9	Sample	NovaSeq
Leaf-ITS-F11-R12	F11	R12	7	1	2	D11	NA	Microbiome	NA	Leaf	ATTP	A11	Microbiome-Leaf-ATTP-A11	Sample	NovaSeq
Leaf-ITS-F11-R13	F11	R13	7	1	2	E11	NA	Microbiome	NA	Leaf	CDPM	C1	Microbiome-Leaf-CDPM-C1	Sample	NovaSeq
Leaf-ITS-F11-R14	F11	R14	7	1	2	F11	NA	Microbiome	NA	Leaf	CROC	C3	Microbiome-Leaf-CROC-C3	Sample	NovaSeq
Leaf-ITS-F11-R15	F11	R15	7	1	2	G11	NA	Microbiome	NA	Leaf	CROC	C1	Microbiome-Leaf-CROC-C1	Sample	NovaSeq
Leaf-ITS-F11-R16	F11	R16	7	1	2	H11	NA	Microbiome	NA	Leaf	GMKW	A7	Microbiome-Leaf-GMKW-A7	Sample	NovaSeq
Leaf-ITS-F11-R17	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
Leaf-ITS-F11-R18	NA	NA	NA	NA	NA	NA	NA	Microbiome	NA	Leaf	NA	NA	NA	Unused	NovaSeq
