Site,Tree,PDI,DAI,PDI_unscaled,DAI_unscaled,AOD proximity
STHWK,E41,0.84051018,-0.185285224,0.161834893,-0.495587592,AOD
STHWK,E42,NA,NA,NA,NA,NA
STHWK,E43,0.747982013,0.223733658,0.093912756,-0.185773424,AOD
STHWK,E44,0.331437372,0.189455754,-0.211860104,-0.211737459,AOD
STHWK,E45,NA,NA,NA,NA,NA
TAWWD,C1,0.71061927,0.233049353,0.066485893,-0.178717187,Far
TAWWD,C2,0.632674088,0.099956385,0.009268686,-0.279529372,Far
TAWWD,C3,0.831751793,0.024890015,0.155405625,-0.336388911,Far
TAWWD,C4,0.771445885,0.05602252,0.111136876,-0.31280738,Far
TAWWD,C5,0.618932317,0.034143524,-8.19E-04,-0.329379777,Far
STRTS,C1,0.493157958,0.235105583,-0.093145898,-0.177159682,Near
STRTS,C2,0.341114783,0.1609597,-0.204756208,-0.233321991,Near
STRTS,C3,0.749350732,0.070566056,0.094917491,-0.301791279,Near
STRTS,C4,0.463202664,0.154412022,-0.115135176,-0.238281575,Near
STRTS,C5,0.554296663,0.318714827,-0.048265819,-0.113829284,Near
WLDCP,C1,0.151563067,-0.143263358,-0.343900406,-0.463757841,Near
WLDCP,C2,0.532991841,0.161755173,-0.063905046,-0.232719455,Near
WLDCP,C3,0.571588949,0.003672872,-0.035572073,-0.352459982,Near
WLDCP,C4,0.556763394,-0.125497343,-0.046455066,-0.45030085,Near
WLDCP,C5,0.313865611,-0.180359332,-0.224759003,-0.491856442,Near
WINDW,A10,0.80759178,-0.332830788,0.137670488,-0.607346996,AOD
WINDW,A11,0.688818802,0.011343443,0.050482827,-0.346649855,AOD
WINDW,A12,0.696254962,-0.034996968,0.055941488,-0.381750718,AOD
WINDW,A13,0.826950556,-0.620440296,0.151881182,-0.825198798,AOD
WINDW,A14,0.493478258,-0.082252048,-0.092910776,-0.417544404,AOD
WINDW,A15,0.664940876,-0.022128444,0.032954761,-0.372003366,AOD
WINDW,A16,0.702976509,-0.381229554,0.060875573,-0.644006975,AOD
