SampleID	F	R	Extraction_batch	PCR_batch	Plate	Well	Ale_ID	SampleOrigin	IsolationMethod	Tissue	Site	Tree	GlobalSampleID	SampleType	SequencingType
D2E-16S-F19-R9	F19	R9	200	5	3	C9	149	Isolation	D2E	Soil	SAW	C3	Isolation-D2E-SAW-C3	Sample	NovaSeq
D2E-16S-F19-R10	F19	R10	200	5	3	C10	183	Isolation	D2E	Soil	LWBKR	C4	Isolation-D2E-LWBKR-C4	Sample	NovaSeq
D2E-16S-F19-R11	F19	R11	200	5	3	C11	222	Isolation	D2E	Leaf	LINEAG	C4	Isolation-D2E-LINEAG-C4	Sample	NovaSeq
D2E-16S-F19-R12	F19	R12	200	5	3	C12	292	Isolation	D2E	Leaf	HLKH	C5	Isolation-D2E-HLKH-C5	Sample	NovaSeq
D2E-16S-F19-R13	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F19-R14	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F19-R15	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F19-R16	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F19-R17	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F19-R18	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F19-R19	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F19-R20	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F19-R21	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F19-R22	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F19-R23	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F19-R24	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F20-R1	F20	R1	200	5	3	D1	23	Isolation	D2E	Soil	LWBKR	C1	Isolation-D2E-LWBKR-C1	Sample	NovaSeq
D2E-16S-F20-R2	F20	R2	200	5	3	D2	115	Isolation	D2E	Soil	MOCCA	C2	Isolation-D2E-MOCCA-C2	Sample	NovaSeq
D2E-16S-F20-R3	F20	R3	200	5	3	D3	174	Isolation	D2E	Leaf	HOEF	C3	Isolation-D2E-HOEF-C3	Sample	NovaSeq
D2E-16S-F20-R4	F20	R4	200	5	3	D4	219	Isolation	D2E	Soil	TAWWD	C4	Isolation-D2E-TAWWD-C4	Sample	NovaSeq
D2E-16S-F20-R5	F20	R5	200	5	3	D5	268	Isolation	D2E	Leaf	CDPM	C5	Isolation-D2E-CDPM-C5	Sample	NovaSeq
D2E-16S-F20-R6	F20	R6	200	5	3	D6	319	Isolation	D2E	Leaf	HRWD	C2	Isolation-D2E-HRWD-C2	Sample	NovaSeq
D2E-16S-F20-R7	F20	R7	200	5	3	D7	19	Isolation	D2E	Soil	RCHMND	C1	Isolation-D2E-RCHMND-C1	Sample	NovaSeq
D2E-16S-F20-R8	F20	R8	200	5	3	D8	78	Isolation	D2E	Leaf	GMKW	C2	Isolation-D2E-GMKW-C2	Sample	NovaSeq
D2E-16S-F20-R9	F20	R9	200	5	3	D9	155	Isolation	D2E	Soil	CROC	C3	Isolation-D2E-CROC-C3	Sample	NovaSeq
D2E-16S-F20-R10	F20	R10	200	5	3	D10	184	Isolation	D2E	Leaf	LWBKR	C4	Isolation-D2E-LWBKR-C4	Sample	NovaSeq
D2E-16S-F20-R11	F20	R11	200	5	3	D11	231	Isolation	D2E	Soil	SNDR	C4	Isolation-D2E-SNDR-C4	Sample	NovaSeq
D2E-16S-F20-R12	F20	R12	200	5	3	D12	295	Isolation	D2E	Soil	HTCH	C5	Isolation-D2E-HTCH-C5	Sample	NovaSeq
D2E-16S-F20-R13	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F20-R14	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F20-R15	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
D2E-16S-F20-R16	NA	NA	NA	NA	NA	NA	NA	Isolation	D2E	NA	NA	NA	NA	Unused	NovaSeq
