Plate,Well,SampleOrigin,SampleID,F,R,Site,Tree
3,A1,Agar,1,F1,R1,ASHC,C1
3,A2,Agar,2,F1,R2,ASHC,C2
3,A3,Agar,3,F1,R3,ASHC,C3
3,A4,Agar,4,F1,R4,ASHC,C4
3,A5,Agar,5,F1,R5,ASHC,C5
3,A6,Agar,6,F1,R6,TAWWD,C1
3,A7,Agar,7,F1,R7,TAWWD,C2
3,A8,Agar,8,F1,R8,TAWWD,C3
3,A9,Agar,9,F1,R9,TAWWD,C4
3,A10,Agar,10,F1,R10,TAWWD,C5
3,A11,Agar,11,F1,R11,STRTS,C1
3,A12,Agar,12,F1,R12,STRTS,C2
3,B1,Agar,13,F2,R1,STRTS,C3
3,B2,Agar,14,F2,R2,STRTS,C4
3,B3,Agar,15,F2,R3,STRTS,C5
3,B4,Agar,16,F2,R4,HTCH,C1
3,B5,Agar,17,F2,R5,HTCH,C2
3,B6,Agar,18,F2,R6,HTCH,C3
3,B7,Agar,19,F2,R7,HTCH,C4
3,B8,Agar,20,F2,R8,HTCH,C5
3,B9,Agar,21,F2,R9,RCHMD,C1
3,B10,Agar,22,F2,R10,RCHMD,C2
3,B11,Agar,23,F2,R11,RCHMD,C3
3,B12,Agar,24,F2,R12,RCHMD,C4
3,C1,Agar,25,F3,R1,RCHMD,C5
3,C2,Agar,26,F3,R2,DYMK,C1
3,C3,Agar,27,F3,R3,DYMK,C2
3,C4,Agar,28,F3,R4,DYMK,C3
3,C5,Agar,29,F3,R5,DYMK,C4
3,C6,Agar,30,F3,R6,DYMK,C5
3,C7,Agar,31,F3,R7,WLDCP,C1
3,C8,Agar,32,F3,R8,WLDCP,C2
3,C9,Agar,33,F3,R9,WLDCP,C3
3,C10,Agar,34,F3,R10,WLDCP,C4
3,C11,Agar,35,F3,R11,WLDCP,C5
3,C12,Agar,36,F3,R12,LNGDL,C1
3,D1,Agar,37,F4,R1,LNGDL,C2
3,D2,Agar,38,F4,R2,LNGDL,C3
3,D3,Agar,39,F4,R3,LNGDL,C4
