Plate,Well,Tube,Extraction,Date,Tissue,Site,Tree,SampleWeight,Fluoro,Conc,Band_intensity,Pool,Fw_barcode,Rev_barcode
1,A8,NA,2,22/02/2022,Leaf,STHWK,A8,0.18,402.279,12.32042338,Mid,Y,F8,R1
1,B8,NA,2,22/02/2022,Leaf,WINDW,A10,0.16,645.201,34.619269,High,Y,F8,R2
1,C8,NA,3,23/02/2022,Leaf,ANCST,C4,0.22,821.676,50.81866132,High,Y,F8,R3
1,D8,NA,3,23/02/2022,Leaf,ASHC,C5,0.2,743.256,43.62015532,High,Y,F8,R4
1,E8,NA,3,23/02/2022,Leaf,ATTP,A7,0.08,1123.387,78.51399979,High,Y,F8,R5
1,F8,NA,3,23/02/2022,Leaf,CDPM,C3,0.21,1028.6,69.81309711,High,Y,F8,R6
1,G8,NA,3,23/02/2022,Leaf,CDPM,C4,0.16,618.882,32.20333583,High,Y,F8,R7
1,H8,NA,3,23/02/2022,Leaf,GMKW,A14,0.11,659.838,35.96286161,High,Y,F8,R8
1,A9,NA,3,23/02/2022,Leaf,GMKW,C5,0.16,808.013,49.56447632,High,Y,F9,R1
1,B9,NA,3,23/02/2022,Leaf,HLKH,C1,0.19,867.466,55.02192056,High,Y,F9,R2
1,C9,NA,3,23/02/2022,Leaf,HLKH,A14,0.22,1012.18,68.30583534,Mid,Y,F9,R3
1,D9,NA,3,23/02/2022,Leaf,HOEF,A19,0.14,754.894,44.68845694,Low,Y,F9,R4
1,E9,NA,3,23/02/2022,Leaf,HTCH,A6,0.15,856.195,53.98730744,Low,Y,F9,R5
1,F9,NA,3,23/02/2022,Leaf,HTCH,A11,0.12,990.531,66.31858137,Mid,Y,F9,R6
1,G9,NA,3,23/02/2022,Leaf,LNGDL,C3,0.22,504.927,21.74292074,High,Y,F9,R7
1,H9,NA,3,23/02/2022,Leaf,MALDW,C5,0.18,589.625,29.51771112,High,Y,F9,R8
1,A10,NA,3,23/02/2022,Leaf,MTRD,C4,0.17,972.519,64.66518313,High,Y,F10,R1
1,B10,NA,3,23/02/2022,Leaf,MTRD,C3,0.19,995.756,66.79820638,High,Y,F10,R2
1,C10,NA,3,23/02/2022,Leaf,RCHMD,A8,0.11,1040.065,70.86551832,High,Y,F10,R3
1,D10,NA,3,23/02/2022,Leaf,RCHMD,C3,0.23,896.927,57.7262713,High,Y,F10,R4
1,E10,NA,3,23/02/2022,Leaf,RWDN,C5,0.15,704.487,40.06138359,High,Y,F10,R5
1,F10,NA,3,23/02/2022,Leaf,SAW,C5,0.21,890.248,57.11317743,High,Y,F10,R6
1,G10,NA,3,23/02/2022,Leaf,SLCY,C1,0.23,553.007,26.15638884,High,Y,F10,R7
1,H10,NA,3,23/02/2022,Leaf,SNDR,C5,0.22,733.601,42.73388173,High,Y,F10,R8
13,A3,NA,3,23/02/2022,Leaf,STHWK,C4,0.17,813.14,54.46978402,High,Y,F11,R1
13,B3,NA,3,23/02/2022,Leaf,STHWK,A11,0.18,469.065,28.0781972,Low,Y,F11,R2
13,C3,NA,3,23/02/2022,Leaf,STHWK,A10,0.15,629.058,40.35014126,Mid,Y,F11,R3
13,D3,NA,3,23/02/2022,Leaf,STRTS,C3,0.12,681.105,44.34230262,Mid,Y,F11,R4
13,E3,NA,3,23/02/2022,Leaf,WINDW,C4,0.21,612.665,39.09274888,High,Y,F11,R5
13,F3,NA,3,23/02/2022,Leaf,WINDW,A16,0.24,419.331,24.2634499,Mid,Y,F11,R6
13,G3,NA,3,23/02/2022,Leaf,WLDCP,C1,0.17,473.215,28.39651468,High,Y,F11,R7
13,H3,NA,4,24/02/2022,Leaf,ATTP,A15,0.14,583.924,36.88822778,High,Y,F11,R8
1,A12,NA,4,24/02/2022,Leaf,ATTP,A14,0.15,1464.162,109.7951893,High,Y,F12,R1
1,B12,NA,4,24/02/2022,Leaf,BBW,C1,0.22,1040.549,70.90994675,Low,Y,F12,R2
1,C12,NA,4,24/02/2022,Leaf,CDS,C5,0.16,980.021,65.35382368,High,Y,F12,R3
1,D12,NA,4,24/02/2022,Leaf,CDS,C3,0.26,879.165,56.09582163,High,Y,F12,R4
1,E12,NA,4,24/02/2022,Leaf,DYMK,C4,0.23,723.431,41.80033409,High,Y,F12,R5
