Plate,Well,F,R,SampleOrigin,SampleID,Site,Tissue,D2E_replicate,Tree,Date
5,A10,F1,R10,D2E,273,LANGDL,ROOT,2,C5,10/10/2022
5,B10,F2,R10,D2E,279,MOCCA,ROOT,1,C5,10/10/2022
5,C10,F3,R10,D2E,285,DYMK,ROOT,2,C5,10/10/2022
5,D10,F4,R10,D2E,291,HLKH,ROOT,3,C5,10/10/2022
5,E10,F5,R10,D2E,300,HOEF,LEAF,2,C5,10/10/2022
5,F10,F6,R10,D2E,303,STHWK,LEAF,2,C1,10/10/2022
5,G10,F7,R10,D2E,305,LINEAG,ROOT,2,C1,10/10/2022
5,H10,F8,R10,D2E,324,MALDW,LEAF,3,C3,10/10/2022
5,A11,F1,R11,D2E,327,TAWWD,LEAF,1,C4,10/10/2022
5,B11,F2,R11,D2E,329,ATTP,ROOT,2,C4,10/10/2022
5,C11,F3,R11,D2E,331,ATTP,LEAF,2,C4,10/10/2022
5,D11,F4,R11,D2E,350,HTCH,ROOT,2,C5,10/10/2022
5,E11,F5,R11,D2E,DNA_Neg_Ctrol_4,DNA_Neg_Ctrol_4,DNA_Neg_Ctrol_4,DNA_Neg_Ctrol_4,DNA_Neg_Ctrol_4,DNA_Neg_Ctrol_4
5,F11,F6,R11,D2E,DNA_Neg_Ctrol_5,DNA_Neg_Ctrol_5,DNA_Neg_Ctrol_5,DNA_Neg_Ctrol_5,DNA_Neg_Ctrol_5,DNA_Neg_Ctrol_5
5,G11,F7,R11,D2E,DNA_Neg_Ctrol_6,DNA_Neg_Ctrol_6,DNA_Neg_Ctrol_6,DNA_Neg_Ctrol_6,DNA_Neg_Ctrol_6,DNA_Neg_Ctrol_6
5,H11,F8,R11,D2E,No_used_combination,No_used_combination,No_used_combination,No_used_combination,No_used_combination,No_used_combination
5,A12,F1,R12,D2E,3,CDPM,ROOT,3,C1,11/10/2022
5,B12,F2,R12,D2E,11,ANCST,ROOT,1,C1,11/10/2022
5,C12,F3,R12,D2E,15,CROC,ROOT,1,C1,11/10/2022
5,D12,F4,R12,D2E,33,HARWD,ROOT,1,C1,11/10/2022
5,E12,F5,R12,D2E,43,STRTS,ROOT,1,C1,11/10/2022
5,F12,F6,R12,D2E,49,HTCH,ROOT,1,C1,11/10/2022
5,G12,F7,R12,D2E,64,MCOU,LEAF,3,C2,11/10/2022
5,H12,F8,R12,D2E,84,MTRD,LEAF,1,C2,11/10/2022
6,A1,F9,R1,D2E,92,RCHMD,LEAF,1,C2,11/10/2022
6,B1,F10,R1,D2E,93,LNGDL,ROOT,3,C2,11/10/2022
6,C1,F11,R1,D2E,118,MALDW,LEAF,1,C2,11/10/2022
6,D1,F12,R1,D2E,119,TAWWD,ROOT,1,C2,11/10/2022
6,E1,F13,R1,D2E,120,TAWWD,LEAF,2,C2,11/10/2022
6,F1,F14,R1,D2E,132,WINDW,LEAF,2,C3,11/10/2022
6,G1,F15,R1,D2E,137,LINEAG,ROOT,3,C3,11/10/2022
