Plate,Well,F,R,SampleOrigin,SampleID,Site,Tissue,D2E_replicate,Tree,Date
8,B6,F2,R18,D2E,321,MALDW,ROOT,2,C3,18/10/2022
8,C6,F3,R18,D2E,325,TAWWD,ROOT,1,C4,18/10/2022
8,D6,F4,R18,D2E,335,HOEF,LEAF,1,C4,18/10/2022
8,E6,F5,R18,D2E,346,CDPM,ROOT,2,C4,18/10/2022
8,F6,F6,R18,D2E,352,HTCH,LEAF,3,C5,18/10/2022
8,G6,F7,R18,D2E,356,MCOU,LEAF,3,C5,18/10/2022
8,H6,F8,R18,D2E,360,SAW,LEAF,3,C5,18/10/2022
8,A7,F1,R19,D2E,21,LINEAG,ROOT,1,C1,18/10/2022
8,B7,F2,R19,D2E,42,CDS,LEAF,1,C1,18/10/2022
8,C7,F3,R19,D2E,45,HLKH,ROOT,1,C1,18/10/2022
8,D7,F4,R19,D2E,55,MALDW,ROOT,3,C1,18/10/2022
8,E7,F5,R19,D2E,57,HOEF,ROOT,3,C1,18/10/2022
8,F7,F6,R19,D2E,58,HOEF,LEAF,3,C1,18/10/2022
8,G7,F7,R19,D2E,63,MCOU,ROOT,1,C2,18/10/2022
8,H7,F8,R19,D2E,83,MTRD,ROOT,3,C2,18/10/2022
8,A8,F1,R20,D2E,85,SLCY,ROOT,1,C2,18/10/2022
8,B8,F2,R20,D2E,88,CDPM,LEAF,3,C2,18/10/2022
8,C8,F3,R20,D2E,89,SAW,ROOT,3,C2,18/10/2022
8,D8,F4,R20,D2E,CP_41_tree_16S,MALDW,ALL,NA,C1,NA
8,E8,F5,R20,D2E,97,ASHC,ROOT,3,C2,18/10/2022
8,F8,F6,R20,D2E,98,ASHC,LEAF,1,C2,18/10/2022
8,G8,F7,R20,D2E,102,CDS,LEAF,2,C2,18/10/2022
8,H8,F8,R20,D2E,103,STRTS,ROOT,2,C2,18/10/2022
8,A9,F1,R21,D2E,109,HTCH,ROOT,1,C2,18/10/2022
8,B9,F2,R21,D2E,121,RWDN,ROOT,1,C3,18/10/2022
8,C9,F3,R21,D2E,131,WINDW,ROOT,1,C3,18/10/2022
8,D9,F4,R21,D2E,138,LINEAG,LEAF,1,C3,18/10/2022
8,E9,F5,R21,D2E,165,HLKH,ROOT,2,C3,18/10/2022
8,F9,F6,R21,D2E,169,HTCH,ROOT,1,C3,18/10/2022
8,G9,F7,R21,D2E,191,WINDW,ROOT,2,C4,18/10/2022
8,H9,F8,R21,D2E,206,SAW,LEAF,1,C4,18/10/2022
8,A10,F1,R22,D2E,228,CDS,LEAF,3,C4,18/10/2022
8,B10,F2,R22,D2E,234,HTCH,LEAF,1,C4,18/10/2022
8,C10,F3,R22,D2E,235,HOEF,ROOT,2,C4,18/10/2022
8,D10,F4,R22,D2E,237,MOCCA,ROOT,1,C4,18/10/2022
8,E10,F5,R22,D2E,248,GMKW,LEAF,3,C5,18/10/2022
8,F10,F6,R22,D2E,256,ATTP,LEAF,3,C5,18/10/2022
8,G10,F7,R22,D2E,257,LINEAG,ROOT,3,C5,18/10/2022
8,H10,F8,R22,D2E,281,MALDW,ROOT,1,C5,18/10/2022
8,A11,F1,R23,D2E,307,LINEAG,LEAF,2,C1,18/10/2022
8,B11,F2,R23,D2E,308,LINEAG,LEAF,3,C1,18/10/2022
8,C11,F3,R23,D2E,315,DYMK,LEAF,1,C2,18/10/2022
8,D11,F4,R23,D2E,317,HRWD,ROOT,1,C2,18/10/2022
8,E11,F5,R23,D2E,323,MALDW,LEAF,2,C3,18/10/2022
8,F11,F6,R23,D2E,326,TAWWD,ROOT,2,C4,18/10/2022
8,G11,F7,R23,D2E,333,HOEF,ROOT,1,C4,18/10/2022
8,H11,F8,R23,D2E,336,HOEF,LEAF,2,C4,18/10/2022
8,A12,F1,R24,D2E,343,BBW,LEAF,2,C4,18/10/2022
8,B12,F2,R24,D2E,348,CDPM,LEAF,2,C4,18/10/2022
8,C12,F3,R24,D2E,353,MCOU,ROOT,1,C5,18/10/2022
8,D12,F4,R24,D2E,DNA_Neg_7_8,DNA_Neg_7_8,DNA_Neg_7_8,DNA_Neg_7_8,DNA_Neg_7_8,
8,E12,F5,R24,D2E,CP_37_tree_16S,LNGDL,ALL,NA,C2,NA
8,F12,F6,R24,D2E,CP_38_tree_16S,LNGDL,ALL,NA,C3,NA
8,G12,F7,R24,D2E,CP_39_tree_16S,LNGDL,ALL,NA,C4,NA
8,H12,F8,R24,D2E,CP_40_tree_16S,LNGDL,ALL,NA,C5,NA
510,510,F9,R13,D2E,CP_42_tree_16S,MALDW,ALL,NA,C2,
9,B4,F10,R13,D2E,CP_43_tree_16S,MALDW,ALL,NA,C3,
9,C4,F11,R13,D2E,CP_44_tree_16S,MALDW,ALL,NA,C4,
9,D4,F12,R13,D2E,CP_45_tree_16S,MALDW,ALL,NA,C5,
9,E4,F13,R13,D2E,CP_46_tree_16S,HOEF,ALL,NA,C1,
9,F4,F14,R13,D2E,CP_47_tree_16S,HOEF,ALL,NA,C2,
9,G4,F15,R13,D2E,CP_48_tree_16S,HOEF,ALL,NA,C3,
9,H4,F16,R13,D2E,CP_49_tree_16S,HOEF,ALL,NA,C4,
511,511,F9,R14,D2E,CP_50_tree_16S,HOEF,ALL,NA,C5,
9,B5,F10,R14,D2E,CP_51_tree_16S,LINEAG,ALL,NA,C1,
9,C5,F11,R14,D2E,CP_52_tree_16S,LINEAG,ALL,NA,C2,
9,D5,F12,R14,D2E,CP_53_tree_16S,LINEAG,ALL,NA,C3,
9,E5,F13,R14,D2E,CP_54_tree_16S,LINEAG,ALL,NA,C4,
9,F5,F14,R14,D2E,CP_86_tree_16S,SLCY,ALL,NA,C1,
9,G5,F15,R14,D2E,Iso_Ctrol_1,ALL,ALL,NA,ALL,
9,H5,F16,R14,D2E,Iso_Ctrol_2,ALL,ALL,NA,ALL,
512,512,F9,R15,D2E,Iso_Ctrol_3,ALL,ALL,NA,ALL,
29,B30,F11,R15,D2E,164,STRTS,LEAF,1,C3,
29,C30,F12,R15,D2E,159,DYMK,ROOT,2,C3,
29,D30,F13,R15,D2E,128,GMKW,LEAF,3,C3,
29,E30,F14,R15,D2E,66,STHWK,LEAF,1,C2,
29,F30,F15,R15,D2E,36,BBW,LEAF,1,C1,
29,G30,F16,R15,D2E,53,WLDCP,ROOT,1,C1,
